Date,Open,High,Low,Close,Volume,Adj Close
2012-02-10,2370.74,2381.60,2365.82,2375.47,000,2375.47
2012-02-09,2393.61,2398.18,2377.07,2396.57,000,2396.57
2012-02-08,2394.21,2402.71,2379.77,2396.78,000,2396.78
2012-02-07,2385.32,2396.13,2377.73,2391.00,000,2391.00
2012-02-06,2387.58,2394.34,2382.95,2390.94,000,2390.94
2012-02-03,2381.21,2399.06,2377.82,2398.22,000,2398.22
2012-02-02,2350.68,2361.13,2344.46,2354.71,000,2354.71
2012-02-01,2326.61,2351.52,2326.51,2346.51,000,2346.51
2012-01-31,2340.79,2343.50,2314.89,2327.19,000,2327.19
2012-01-30,2318.96,2333.02,2308.81,2326.84,000,2326.84
2012-01-27,2325.95,2346.17,2325.95,2341.96,000,2341.96
2012-01-26,2346.59,2355.90,2323.54,2332.35,000,2332.35
2012-01-25,2315.01,2337.16,2305.14,2333.92,000,2333.92
2012-01-24,2296.49,2319.34,2290.96,2319.33,000,2319.33
2012-01-23,2313.15,2328.19,2296.52,2308.20,000,2308.20
2012-01-20,2312.37,2320.87,2307.26,2314.73,000,2314.73
2012-01-19,2307.86,2327.20,2307.52,2321.26,000,2321.26
2012-01-18,2261.78,2298.77,2258.28,2298.77,000,2298.77
2012-01-17,2270.84,2276.31,2260.14,2264.91,000,2264.91
2012-01-13,2243.48,2247.82,2227.24,2246.04,000,2246.04
2012-01-12,2250.71,2257.37,2235.50,2256.69,000,2256.69
2012-01-11,2236.14,2249.89,2234.17,2246.76,000,2246.76
2012-01-10,2238.45,2244.83,2231.58,2239.15,000,2239.15
2012-01-09,2217.13,2218.02,2196.35,2212.86,000,2212.86
2012-01-06,2213.89,2220.93,2201.01,2208.46,000,2208.46
2012-01-05,2188.71,2213.29,2175.07,2212.60,000,2212.60
2012-01-04,2193.31,2200.58,2183.68,2195.92,000,2195.92
2012-01-03,2213.58,2218.83,2194.66,2200.64,000,2200.64
2011-12-30,2177.79,2180.57,2167.62,2168.22,000,2168.22
2011-12-29,2162.99,2180.72,2159.64,2179.57,000,2179.57
2011-12-28,2194.36,2194.57,2158.04,2160.83,000,2160.83
2011-12-27,2184.82,2199.61,2180.61,2193.76,000,2193.76
2011-12-23,2182.59,2191.76,2175.27,2191.68,000,2191.68
2011-12-22,2169.64,2178.83,2166.64,2175.80,000,2175.80
2011-12-21,2174.57,2177.06,2140.39,2167.19,000,2167.19
2011-12-20,2143.57,2174.55,2143.48,2173.94,000,2173.94
2011-12-19,2145.84,2152.41,2102.22,2106.32,000,2106.32
2011-12-16,2138.81,2164.77,2129.35,2136.55,000,2136.55
2011-12-15,2143.29,2143.29,2120.24,2125.69,000,2125.69
